Land Type,Price,Price per m2,Area,City
"2 PN • Hướng Tây • Nhà ngõ, hẻm","1,35 tỷ",41 tr/m²,33 m²,Tp Hồ Chí Minh
Đất thổ cư • Ngang 5 m,"3,5 tỷ",35 tr/m²,100 m²,Đà Nẵng
Đất thổ cư • Ngang 5 m,"2,65 tỷ",27 tr/m²,100 m²,Đà Nẵng
"5 PN • Nhà ngõ, hẻm",5 tỷ,90 tr/m²,55 m²,Tp Hồ Chí Minh
"3 PN • Nhà ngõ, hẻm","3,6 tỷ",133 tr/m²,27 m²,Tp Hồ Chí Minh
1 PN • Hướng Tây Bắc • Chung cư,"2,828 tỷ",66 tr/m²,43 m²,Hà Nội
"3 PN • Nhà ngõ, hẻm","5,6 tỷ",92 tr/m²,61 m²,Tp Hồ Chí Minh
2 PN • Hướng Nam • Chung cư,3 tỷ,42 tr/m²,72 m²,Tp Hồ Chí Minh
"2 PN • Hướng Đông • Nhà ngõ, hẻm","7,545 tỷ",216 tr/m²,35 m²,Tp Hồ Chí Minh
Đất thổ cư • Ngang 4 m,"6,2 tỷ",63 tr/m²,98 m²,Tp Hồ Chí Minh
"3 PN • Nhà mặt phố, mặt tiền","6,5 tỷ",93 tr/m²,70 m²,Tp Hồ Chí Minh
"4 PN • Nhà ngõ, hẻm","5,999 tỷ",95 tr/m²,63 m²,Tp Hồ Chí Minh
2 PN • Chung cư,15 tỷ,192 tr/m²,78 m²,Tp Hồ Chí Minh
2 PN • Chung cư,14 tỷ,171 tr/m²,82 m²,Tp Hồ Chí Minh
2 PN • Chung cư,"14,5 tỷ",193 tr/m²,75 m²,Tp Hồ Chí Minh
8 PN • Nhà biệt thự,45 tỷ,225 tr/m²,200 m²,Tp Hồ Chí Minh
"5 PN • Nhà ngõ, hẻm","6,3 tỷ",119 tr/m²,53 m²,Tp Hồ Chí Minh
"8 PN • Hướng Đông Nam • Nhà ngõ, hẻm","9,2 tỷ",153 tr/m²,60 m²,Tp Hồ Chí Minh
3 PN • Hướng Đông Bắc • Nhà biệt thự,10 tỷ,17 tr/m²,606 m²,Khánh Hòa
"3 PN • Nhà ngõ, hẻm","6,3 tỷ",56 tr/m²,112 m²,Tp Hồ Chí Minh
Đất thổ cư,"5,9 tỷ",24 tr/m²,250 m²,Long An
"4 PN • Nhà ngõ, hẻm","5,6 tỷ",93 tr/m²,60 m²,Tp Hồ Chí Minh
5 PN • Nhà phố liền kề,"6,45 tỷ",124 tr/m²,52 m²,Tp Hồ Chí Minh
"3 PN • Nhà ngõ, hẻm","4,8 tỷ",79 tr/m²,61 m²,Tp Hồ Chí Minh
"2 PN • Hướng Đông Bắc • Nhà mặt phố, mặt tiền","1,2 tỷ",17 tr/m²,70 m²,Bình Dương
"3 PN • Nhà ngõ, hẻm","5,6 tỷ",69 tr/m²,81 m²,Tp Hồ Chí Minh
1 PN • Chung cư,"1,6 tỷ",37 tr/m²,44 m²,Tp Hồ Chí Minh
"3 PN • Nhà ngõ, hẻm","4,4 tỷ",176 tr/m²,25 m²,Tp Hồ Chí Minh
Đất nông nghiệp • Ngang 65 m,"36,6 tỷ","3,9 tr/m²",9420 m²,Đồng Nai
Đất thổ cư • Ngang 12 m,"9,3 tỷ",14 tr/m²,670 m²,Cần Thơ
Đất thổ cư,"7,9 tỷ","1,9 tr/m²",4062 m²,Đồng Nai
2 PN • Chung cư,"1,1 tỷ",22 tr/m²,51 m²,Đà Nẵng
"3 PN • Nhà ngõ, hẻm",12 tỷ,66 tr/m²,182 m²,Tp Hồ Chí Minh
Đất nông nghiệp • Ngang 25 m,"4,7 tỷ",6 tr/m²,786 m²,Tp Hồ Chí Minh
5 PN • Nhà phố liền kề,"13,2 tỷ",264 tr/m²,50 m²,Hà Nội
"1 PN • Nhà ngõ, hẻm","1,15 tỷ",50 tr/m²,23 m²,Hà Nội
Đất nông nghiệp • Ngang 120 m,30 tỷ,30000 m²,,Đồng Nai
"1 PN • Nhà ngõ, hẻm","3,45 tỷ",101 tr/m²,34 m²,Hà Nội
5 PN • Hướng Tây Bắc • Nhà biệt thự,"23,8 tỷ",107 tr/m²,223 m²,Tp Hồ Chí Minh
"3 PN • Nhà ngõ, hẻm","5,4 tỷ",169 tr/m²,32 m²,Tp Hồ Chí Minh
"1 PN • Nhà ngõ, hẻm","1,42 tỷ",41 tr/m²,35 m²,Tp Hồ Chí Minh
"10 PN • Nhà ngõ, hẻm","7,85 tỷ",46 tr/m²,172 m²,Tp Hồ Chí Minh
Đất nông nghiệp • Ngang 15 m,670 triệu,"1,3 tr/m²",509 m²,Tiền Giang
5 PN • Nhà biệt thự,24 tỷ,150 tr/m²,160 m²,Tp Hồ Chí Minh
3 PN • Hướng Đông • Nhà phố liền kề,"1,5 tỷ",63 tr/m²,24 m²,Tp Hồ Chí Minh
Đất nền dự án • Ngang 4.5 m,2 tỷ,20 tr/m²,100 m²,Long An
2 PN • Hướng Đông • Chung cư,"2,65 tỷ",45 tr/m²,59 m²,Tp Hồ Chí Minh
Đất nông nghiệp • Ngang 24 m,"1,35 tỷ","1,3 tr/m²",1063 m²,Tiền Giang
3 PN • Chung cư,"5,7 tỷ",56 tr/m²,102 m²,Tp Hồ Chí Minh
Đất thổ cư • Ngang 4 m,"4,2 tỷ",79 tr/m²,53 m²,Tp Hồ Chí Minh
"4 PN • Nhà ngõ, hẻm",6 tỷ,150 tr/m²,40 m²,Tp Hồ Chí Minh
8 PN • Hướng Bắc • Nhà phố liền kề,"9,8 tỷ",196 tr/m²,50 m²,Hà Nội
Mặt bằng kinh doanh • Nội thất đầy đủ,20 tỷ,52 m²,,Tp Hồ Chí Minh
Đất thổ cư • Ngang 18 m,"9,6 tỷ","7,2 tr/m²",1339 m²,Tp Hồ Chí Minh
"3 PN • Nhà ngõ, hẻm","3,8 tỷ",73 tr/m²,52 m²,Tp Hồ Chí Minh
"1 PN • Nhà mặt phố, mặt tiền","19,9 tỷ",111 tr/m²,180 m²,Tp Hồ Chí Minh
"2 PN • Hướng Đông • Nhà ngõ, hẻm",850 triệu,10 tr/m²,85 m²,Tp Hồ Chí Minh
2 PN • Chung cư,"3,1 tỷ",44 tr/m²,70 m²,Tp Hồ Chí Minh
"3 PN • Nhà mặt phố, mặt tiền",5 tỷ,125 tr/m²,40 m²,Tp Hồ Chí Minh
"3 PN • Hướng Tây • Nhà ngõ, hẻm","4,95 tỷ",275 tr/m²,18 m²,Hà Nội
2 PN • Chung cư,"3,9 tỷ",52 tr/m²,75 m²,Tp Hồ Chí Minh
4 PN • Nhà phố liền kề,"23,8 tỷ",92 tr/m²,260 m²,Tp Hồ Chí Minh
2 PN • Chung cư,"2,38 tỷ",32 tr/m²,75 m²,Tp Hồ Chí Minh
"1 PN • Nhà ngõ, hẻm","7,5 tỷ",94 tr/m²,80 m²,Tp Hồ Chí Minh
"5 PN • Nhà ngõ, hẻm","6,45 tỷ",108 tr/m²,60 m²,Tp Hồ Chí Minh
"3 PN • Nhà ngõ, hẻm",3 tỷ,30 tr/m²,100 m²,Tp Hồ Chí Minh
"2 PN • Nhà mặt phố, mặt tiền","3,1 tỷ",78 tr/m²,40 m²,Tp Hồ Chí Minh
"4 PN • Nhà ngõ, hẻm","6,5 tỷ",48 tr/m²,135 m²,Tp Hồ Chí Minh
"3 PN • Nhà mặt phố, mặt tiền","6,7 tỷ",45 tr/m²,150 m²,Bình Dương
"3 PN • Nhà ngõ, hẻm","4,95 tỷ",63 tr/m²,79 m²,Tp Hồ Chí Minh
"4 PN • Nhà ngõ, hẻm","4,8 tỷ",79 tr/m²,61 m²,Tp Hồ Chí Minh
2 PN • Chung cư,"3,28 tỷ",49 tr/m²,67 m²,Tp Hồ Chí Minh
Đất nông nghiệp • Ngang 26 m,"1,8 tỷ","1,8 tr/m²",1000 m²,Tp Hồ Chí Minh
"3 PN • Nhà ngõ, hẻm","4,85 tỷ",61 tr/m²,80 m²,Tp Hồ Chí Minh
2 PN • Chung cư,3 tỷ,43 tr/m²,70 m²,Tp Hồ Chí Minh
"4 PN • Nhà mặt phố, mặt tiền","8,3 tỷ",167 tr/m²,50 m²,Tp Hồ Chí Minh
Đất thổ cư • Ngang 30 m,"32,5 tỷ",14 tr/m²,2385 m²,Tp Hồ Chí Minh
Đất nông nghiệp • Ngang 24 m,6 tỷ,5 tr/m²,1200 m²,Tp Hồ Chí Minh
3 PN • Chung cư,"2,99 tỷ",40 tr/m²,75 m²,Tp Hồ Chí Minh
Đất thổ cư • Ngang 5 m,595 triệu,"5,4 tr/m²",110 m²,Lâm Đồng
1 PN • Chung cư,"2,1 tỷ",42 tr/m²,50 m²,Tp Hồ Chí Minh
"4 PN • Nhà ngõ, hẻm","6,8 tỷ",100 tr/m²,68 m²,Tp Hồ Chí Minh
3 PN • Chung cư,"2,99 tỷ",40 tr/m²,75 m²,Tp Hồ Chí Minh
4 PN • Hướng Tây Nam • Nhà phố liền kề,9 tỷ,86 tr/m²,105 m²,Tp Hồ Chí Minh
"3 PN • Nhà mặt phố, mặt tiền","3,5 tỷ",33 tr/m²,107 m²,Bình Dương
"3 PN • Hướng Tây • Nhà ngõ, hẻm",3 tỷ,20 tr/m²,150 m²,Long An
"4 PN • Nhà mặt phố, mặt tiền","3,65 tỷ",29 tr/m²,125 m²,Đà Nẵng
"9 PN • Nhà mặt phố, mặt tiền",40 tỷ,400 tr/m²,100 m²,Tp Hồ Chí Minh
"4 PN • Nhà ngõ, hẻm","6,69 tỷ",149 tr/m²,45 m²,Tp Hồ Chí Minh
8 PN • Nhà biệt thự,45 tỷ,225 tr/m²,200 m²,Tp Hồ Chí Minh
2 PN • Chung cư,"1,68 tỷ",27 tr/m²,62 m²,Tp Hồ Chí Minh
"3 PN • Nhà ngõ, hẻm","10,5 tỷ",202 tr/m²,52 m²,Tp Hồ Chí Minh
1 PN • Chung cư,650 triệu,20 tr/m²,32 m²,Bình Thuận
"2 PN • Nhà ngõ, hẻm","1,18 tỷ",118 tr/m²,10 m²,Tp Hồ Chí Minh
"5 PN • Nhà mặt phố, mặt tiền","10,5 tỷ",328 tr/m²,32 m²,Hà Nội
Đất nông nghiệp • Ngang 65 m,730 triệu,< 1 tr/m²,732 m²,Long An
3 PN • Hướng Bắc • Chung cư,"2,975 tỷ",40 tr/m²,75 m²,Tp Hồ Chí Minh
"3 PN • Nhà mặt phố, mặt tiền",6 tỷ,71 tr/m²,84 m²,Tp Hồ Chí Minh
"3 PN • Nhà ngõ, hẻm","3,38 tỷ",85 tr/m²,40 m²,Tp Hồ Chí Minh
"2 PN • Hướng Đông Nam • Nhà ngõ, hẻm","5,835 tỷ",133 tr/m²,44 m²,Tp Hồ Chí Minh
3 PN • Duplex,"6,7 tỷ",52 tr/m²,130 m²,Tp Hồ Chí Minh
Đất thổ cư,10 tỷ,60 tr/m²,167 m²,Long An
"3 PN • Hướng Đông Nam • Nhà ngõ, hẻm","6,9 tỷ",192 tr/m²,36 m²,Hà Nội
Đất thổ cư • Ngang 5 m,"1,45 tỷ",10 tr/m²,144 m²,Hà Nội
"3 PN • Hướng Tây Bắc • Nhà mặt phố, mặt tiền","14,5 tỷ",422 tr/m²,34 m²,Tp Hồ Chí Minh
"3 PN • Nhà ngõ, hẻm","3,95 tỷ",94 tr/m²,42 m²,Tp Hồ Chí Minh
1 PN • Hướng Nam • Chung cư,"1,35 tỷ",27 tr/m²,50 m²,Tp Hồ Chí Minh
2 PN • Chung cư,225 triệu,"7,5 tr/m²",30 m²,Bình Dương
2 PN • Chung cư,"2,7 tỷ",52 tr/m²,52 m²,Đà Nẵng
2 PN • Chung cư,357 triệu,12 tr/m²,30 m²,Bình Dương
"3 PN • Nhà ngõ, hẻm","7,38 tỷ",185 tr/m²,40 m²,Tp Hồ Chí Minh
Đất nông nghiệp • Ngang 10 m,"6,08 tỷ",19 tr/m²,320 m²,Tp Hồ Chí Minh
"2 PN • Nhà ngõ, hẻm","5,15 tỷ",161 tr/m²,32 m²,Tp Hồ Chí Minh
"7 PN • Nhà ngõ, hẻm","5,5 tỷ",138 tr/m²,40 m²,Tp Hồ Chí Minh
"4 PN • Nhà ngõ, hẻm","3,1 tỷ",91 tr/m²,34 m²,Hà Nội
"2 PN • Nhà ngõ, hẻm","5,45 tỷ",91 tr/m²,60 m²,Tp Hồ Chí Minh
"6 PN • Nhà ngõ, hẻm","5,5 tỷ",138 tr/m²,40 m²,Tp Hồ Chí Minh
"2 PN • Nhà ngõ, hẻm","5,1 tỷ",106 tr/m²,48 m²,Tp Hồ Chí Minh
"3 PN • Nhà ngõ, hẻm","5,94 tỷ",129 tr/m²,46 m²,Tp Hồ Chí Minh
"4 PN • Nhà ngõ, hẻm","5,5 tỷ",145 tr/m²,38 m²,Tp Hồ Chí Minh
3 PN • Hướng Bắc • Nhà phố liền kề,"3,95 tỷ",55 tr/m²,72 m²,Bình Dương
"4 PN • Nhà ngõ, hẻm","7,19 tỷ",100 tr/m²,72 m²,Tp Hồ Chí Minh
"4 PN • Nhà mặt phố, mặt tiền","12,88 tỷ",227 tr/m²,57 m²,Tp Hồ Chí Minh
"2 PN • Nhà ngõ, hẻm","3,3 tỷ",105 tr/m²,31 m²,Tp Hồ Chí Minh
2 PN • Chung cư,"1,53 tỷ",31 tr/m²,50 m²,Tp Hồ Chí Minh
1 PN • Chung cư,"1,15 tỷ",30 tr/m²,38 m²,Tp Hồ Chí Minh
"5 PN • Nhà mặt phố, mặt tiền","9,5 tỷ",148 tr/m²,64 m²,Tp Hồ Chí Minh
"3 PN • Nhà mặt phố, mặt tiền","7,89 tỷ",188 tr/m²,42 m²,Hà Nội
"3 PN • Hướng Đông Nam • Nhà ngõ, hẻm","8,8 tỷ",210 tr/m²,42 m²,Hà Nội
Đất thổ cư • Ngang 6 m,"8,7 tỷ",100 tr/m²,87 m²,Hà Nội
"3 PN • Nhà mặt phố, mặt tiền","16,7 tỷ",407 tr/m²,41 m²,Hà Nội
1 PN • Chung cư,"1,47 tỷ",31 tr/m²,47 m²,Tp Hồ Chí Minh
1 PN • Chung cư,"1,6 tỷ",46 tr/m²,35 m²,Tp Hồ Chí Minh
"2 PN • Nhà ngõ, hẻm","7,9 tỷ",61 tr/m²,130 m²,Tp Hồ Chí Minh
"3 PN • Nhà ngõ, hẻm","4,65 tỷ",103 tr/m²,45 m²,Tp Hồ Chí Minh
"2 PN • Nhà ngõ, hẻm","4,65 tỷ",95 tr/m²,49 m²,Tp Hồ Chí Minh
"3 PN • Nhà ngõ, hẻm","4,9 tỷ",136 tr/m²,36 m²,Tp Hồ Chí Minh
Đất thổ cư • Ngang 5.4 m,"2,15 tỷ",20 tr/m²,109 m²,Bình Dương
"10 PN • Nhà mặt phố, mặt tiền","11,5 tỷ",139 tr/m²,83 m²,Tp Hồ Chí Minh
"2 PN • Hướng Tây Nam • Nhà ngõ, hẻm","2,4 tỷ",100 tr/m²,24 m²,Tp Hồ Chí Minh
2 PN • Chung cư,4 tỷ,57 tr/m²,70 m²,Hà Nội
Đất nền dự án • Ngang 13.6 m,10 tỷ,30 tr/m²,328 m²,Long An
"2 PN • Nhà ngõ, hẻm","6,3 tỷ",124 tr/m²,51 m²,Tp Hồ Chí Minh
"4 PN • Nhà mặt phố, mặt tiền","1,1 tỷ","9,3 tr/m²",118 m²,Tp Hồ Chí Minh
"5 PN • Nhà ngõ, hẻm","7,1 tỷ",91 tr/m²,78 m²,Tp Hồ Chí Minh
"4 PN • Hướng Đông Bắc • Nhà ngõ, hẻm","7,5 tỷ",167 tr/m²,45 m²,Tp Hồ Chí Minh
"2 PN • Hướng Tây • Nhà ngõ, hẻm",700 triệu,"2,8 tr/m²",255 m²,Tây Ninh
"4 PN • Nhà ngõ, hẻm","5,6 tỷ",100 tr/m²,56 m²,Tp Hồ Chí Minh
Đất thổ cư • Ngang 13.9 m,15 tỷ,30 tr/m²,501 m²,Tp Hồ Chí Minh
1 PN • Chung cư,"1,75 tỷ",44 tr/m²,40 m²,Tp Hồ Chí Minh
"4 PN • Nhà mặt phố, mặt tiền",13 tỷ,113 tr/m²,115 m²,Tp Hồ Chí Minh
2 PN • Chung cư,"1,7 tỷ",33 tr/m²,51 m²,Đồng Nai
"5 PN • Nhà mặt phố, mặt tiền","11,8 tỷ",169 tr/m²,70 m²,Tp Hồ Chí Minh
Đất thổ cư,"8,99 tỷ",40 tr/m²,223 m²,Tp Hồ Chí Minh
1 PN • Officetel,"1,99 tỷ",54 tr/m²,37 m²,Tp Hồ Chí Minh
4 PN • Nhà biệt thự,22 tỷ,54 tr/m²,405 m²,Tp Hồ Chí Minh
Đất nông nghiệp,790 triệu,< 1 tr/m²,5000 m²,Đồng Nai
"3 PN • Nhà ngõ, hẻm","6,8 tỷ",136 tr/m²,50 m²,Tp Hồ Chí Minh
Đất thổ cư • Ngang 5 m,"4,9 tỷ",49 tr/m²,100 m²,Tp Hồ Chí Minh
Đất thổ cư • Ngang 80 m,5 tỷ,< 1 tr/m²,6072 m²,Đồng Nai
"3 PN • Nhà ngõ, hẻm","4,18 tỷ",84 tr/m²,50 m²,Tp Hồ Chí Minh
"4 PN • Nhà ngõ, hẻm","10,9 tỷ",218 tr/m²,50 m²,Hà Nội
2 PN • Chung cư,375 triệu,13 tr/m²,30 m²,Bình Dương
"nhiều hơn 10 PN • Hướng Đông Bắc • Căn hộ dịch vụ, mini",18 tỷ,35 tr/m²,520 m²,Tp Hồ Chí Minh
"3 PN • Nhà ngõ, hẻm","3,3 tỷ",52 tr/m²,64 m²,Tp Hồ Chí Minh
"5 PN • Hướng Đông Nam • Nhà ngõ, hẻm","7,3 tỷ",209 tr/m²,35 m²,Hà Nội
Đất thổ cư • Ngang 7 m,"2,3 tỷ","9,5 tr/m²",243 m²,Bà Rịa - Vũng Tàu
"4 PN • Nhà ngõ, hẻm","7,1 tỷ",120 tr/m²,59 m²,Tp Hồ Chí Minh
"5 PN • Hướng Tây Bắc • Nhà ngõ, hẻm","6,8 tỷ",119 tr/m²,57 m²,Tp Hồ Chí Minh
"2 PN • Nhà ngõ, hẻm","1,95 tỷ",65 tr/m²,30 m²,Đà Nẵng
Mặt bằng kinh doanh • Hoàn thiện cơ bản,"3,6 tỷ",12 m²,,Tp Hồ Chí Minh
"nhiều hơn 10 PN • Nhà mặt phố, mặt tiền",48 tỷ,265 tr/m²,181 m²,Tp Hồ Chí Minh
"1 PN • Nhà ngõ, hẻm","1,35 tỷ",135 tr/m²,10 m²,Tp Hồ Chí Minh
4 PN • Nhà phố liền kề,8 tỷ,133 tr/m²,60 m²,Tp Hồ Chí Minh
3 PN • Hướng Tây Bắc • Nhà phố liền kề,"7,5 tỷ",100 tr/m²,75 m²,Tp Hồ Chí Minh
"3 PN • Nhà mặt phố, mặt tiền","3,3 tỷ",37 tr/m²,90 m²,Long An
3 PN • Chung cư,"5,55 tỷ",45 tr/m²,122 m²,Bà Rịa - Vũng Tàu
Đất thổ cư • Ngang 6 m,"12,5 tỷ",128 tr/m²,98 m²,Tp Hồ Chí Minh
