Title,Type,Price,Price/m2,Area,Legal Documents,Rooms,Toilets,Address
"Bán nhanh (RẺ) Emerald, 98m2 3PN + 2WC, Full nội thất, giá 4.7Tỷ",Chung cư,"4,7 tỷ","47,96 triệu/m²",98 m²,Hợp đồng mua bán,3 phòng,2 phòng,"số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh"
Tập thể Lê Thanh Nghị 110m 03 phòng ngủ sổ đỏ chính chủ Hai Bà Trưng,"Tập thể, cư xá","4,5 tỷ","40,91 triệu/m²",110 m²,Sổ hồng riêng,3 phòng,2 phòng,"Phố Lê Thanh Nghị, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội"
Giỏ Hàng Bán Căn Hộ AKARI Mặt Tiền VÕ VĂN KIỆT -VỀ Q5-10P CDT Nam Long,Chung cư,"2,65 tỷ","33,97 triệu/m²",78 m²,Hợp đồng mua bán,2 phòng,2 phòng,"Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh"
"Bcons Green Topaz 2PN 2WC giá 1,9 tỷ. có cam kết thuê 10 triệu/ tháng",Chung cư,"1,9 tỷ","36,54 triệu/m²",52 m²,Đang chờ sổ,2 phòng,2 phòng,"Thống Nhất, Đông Hòa, Dĩ An, Bình Dương, Phường Đông Hòa, Thành phố Dĩ An, Bình Dương"
"Chính chủ bán căn góc Bcons Suối Tiên 2PN 2WC giá 1,88 tỷ bao thuế cc",Chung cư,"1,88 tỷ","33,57 triệu/m²",56 m²,Sổ hồng riêng,2 phòng,2 phòng,"195/7 Đường Tân Lập, Phường Đông Hòa, Dĩ An, Bình Dương, Phường Tân Đông Hiệp, Thành phố Dĩ An, Bình Dương"
"Chính chủ cắt lỗ căn hộ Bcons Bee 2PN 2WC giá chỉ còn 1,67 tỷ. Sổ sẵn",Chung cư,"1,67 tỷ","30,93 triệu/m²",54 m²,Sổ hồng riêng,2 phòng,2 phòng,"Khu phố Nội Hóa 1, Phường Bình An, Thành Phố Dĩ An, Tỉnh Bình Dương, Phường Bình An, Thành phố Dĩ An, Bình Dương"
"Chính chủ bán căn hộ Bcons Green View 2PN 56m2 giá 1,7 tỷ. Sổ hồng sẵn",Chung cư,"1,7 tỷ","30,36 triệu/m²",56 m²,Sổ hồng riêng,2 phòng,2 phòng,"Đường Quốc lộ 1K, Khu phố Tân Hòa, Phường Đông Hòa, Dĩ An, Bình Dương, Phường Đông Hòa, Thành phố Dĩ An, Bình Dương"
"Chính chủ bán rẻ CH Bcons Plaza 2PN 56m2 giá 1,76 tỷ. Hỗ trợ mua vay",Chung cư,"1,76 tỷ","31,43 triệu/m²",56 m²,Sổ hồng riêng,2 phòng,2 phòng,"Mặt tiền đường Thống Nhất, phường Đông Hoà, Dĩ An, Bình Dương., Phường Đông Hòa, Thành phố Dĩ An, Bình Dương"
"Chính chủ bán rẻ Căn hộ Phạm Văn Đồng 1PN giá 1,58tỷ bao phí sang tên",Chung cư,"1,58 tỷ","38,54 triệu/m²",41 m²,Đang chờ sổ,1 phòng,1 phòng,"10 Bế Văn Đàn, Phường An Bình, Thành phố Dĩ An, Bình Dương, Phường An Bình, Thành phố Dĩ An, Bình Dương"
"Suất nội bộ Bcons City tháp trung tâm căn 2PN giá 2,2 tỷ. Ck 110 triệu",Chung cư,"2,2 tỷ","42,31 triệu/m²",52 m²,Hợp đồng mua bán,2 phòng,2 phòng,"Đường Thống Nhất, khu phố Bình Thắng, Phường Đông Hòa, Thành phố Dĩ An, Bình Dương, Phường Đông Hòa, Thành phố Dĩ An, Bình Dương"
"Siêu rẻ căn hộ Bcons Garden 2PN giá chỉ 1,38 tỷ. Sổ sẵn hỗ trợ mua vay",Chung cư,"1,38 tỷ","32,09 triệu/m²",43 m²,Sổ hồng riêng,2 phòng,2 phòng,"65 Đường Phạm Hữu Lầu, Phường Dĩ An, Dĩ An, Bình Dương, Phường Dĩ An, Thành phố Dĩ An, Bình Dương"
"Chính chủ cắt lỗ căn hộ Bcons City 2PN 2WC y hình 1,94 tỷ còn 1,85 tỷ",Chung cư,"1,85 tỷ","35,58 triệu/m²",52 m²,Hợp đồng mua bán,2 phòng,2 phòng,"Đường Thống Nhất, khu phố Bình Thắng, Phường Đông Hòa, Thành phố Dĩ An, Bình Dương, Phường Đông Hòa, Thành phố Dĩ An, Bình Dương"
Căn Hộ ven sông liền kề Aeon Mall Biên Hòa - Sở hữu chỉ từ 160 Triệu,Chung cư,160 triệu,"2,67 triệu/m²",60 m²,Sổ hồng riêng,2 phòng,2 phòng,"Bùi Hữu Nghĩa , Phường Tân Vạn, Thành phố Biên Hòa, Đồng Nai"
"Chính chủ căn hộ The Rivana 1PN-1.9 tỷ, căn 2PN-2.58 tỷ, Sổ hồng sẵn",Chung cư,"2,58 tỷ","35,83 triệu/m²",72 m²,Sổ hồng riêng,2 phòng,2 phòng,"Quốc Lộ 13, Phường Vĩnh Phú, Thành phố Thuận An, Bình Dương"
Chính chủ bán căn 1+ Masteri West Height full đồ view bể bơi 3.63 tỷ,Chung cư,"3,63 tỷ","84,42 triệu/m²",43 m²,Hợp đồng mua bán,2 phòng,1 phòng,"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội"
"Kẹt tiền Trả nợ Bank, Bán gấp Penhouse Chung cư Phúc Yên 1",Penthouse,"5,8 tỷ","29,74 triệu/m²",195 m²,Sổ hồng riêng,4 phòng,3 phòng,"33, Phan Huy Ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh"
chin chủ cần ban căn hộ ngay chung tam quan 8 đep thoan,Chung cư,"3,5 tỷ","52,01 triệu/m²",67.3 m²,Sổ hồng riêng,2 phòng,2 phòng,"557, 557 Ben Binh Dong Phuong 13 Quan 8, Phường 13, Quận 8, Tp Hồ Chí Minh"
Căn Hộ ven sông liền kề Aeon Mall Biên Hòa - Sở hữu chỉ từ 160 Triệu,Chung cư,160 triệu,"2,67 triệu/m²",60 m²,Sổ hồng riêng,2 phòng,2 phòng,"Bùi Hữu Nghĩa , Phường Tân Vạn, Thành phố Biên Hòa, Đồng Nai"
CHỐT LIỀN TAY STUDIO VIEW BỂ BƠI GIÁ 1.66 TỶ TẶNG ĐỒ TẠI VHOIP,Chung cư,"1,66 tỷ","53,55 triệu/m²",31 m²,Sổ hồng riêng,1 phòng,1 phòng,"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội"
"bán căn 113m2, cc westgate, block C, tầng cao",Chung cư,"4,16 tỷ","36,81 triệu/m²",113 m²,Sổ hồng riêng,3 phòng,2 phòng,"Đường Tân Túc, Thị trấn Tân Túc, Huyện Bình Chánh, Tp Hồ Chí Minh"
Tập thể lô góc phố Tây Sơn 76m 03 phòng ngủ sổ đỏ Đống Đa,"Tập thể, cư xá","4,4 tỷ","57,89 triệu/m²",76 m²,Sổ hồng riêng,3 phòng,2 phòng,"Tây Sơn, Phường Nam Đồng, Quận Đống Đa, Hà Nội"
"2,6 TỶ- CĂN STU 34,1m2 - view BIỂN+ SƠN TRÀ- chiết khấu 16% giá 2,6 tỷ",Chung cư,"2,6 tỷ","76,25 triệu/m²",34.1 m²,Sổ hồng riêng,1 phòng,1 phòng,"Đường Vương Thừa Vũ, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"
"Căn 2PN rẻ nhất tại PENINSULA DN- Trả trước 1,2-tỷ sở hữu ngay- LS 0%",Chung cư,"3,35 tỷ","52,76 triệu/m²",63.5 m²,Sổ hồng riêng,2 phòng,2 phòng,"Đường Lê Văn Duyệt, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng"
Căn hộ Lý Chiêu Hoàng 1PN1WC + 50m2 ( có ban công),Chung cư,"1,25 tỷ","24,51 triệu/m²",51 m²,Hợp đồng mua bán,1 phòng,1 phòng,"Lý Chiêu Hoàng nối dài, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh"
Cần bán chung cư thái an 3,Chung cư,"1,28 tỷ","26,12 triệu/m²",49 m²,Hợp đồng mua bán,1 phòng,1 phòng,"Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh"
BÁN CHUNG CƯ PHAN VĂN TRỊ - BÌNH THẠNH - 2PN - 42m2,Chung cư,"2,29 tỷ","54,52 triệu/m²",42 m²,Sổ hồng riêng,2 phòng,1 phòng,"Đường Phan Văn Trị, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh"
Đi công tác nên cần bán gấp căn hộ 52m2 giá 3tỷ,Chung cư,3 tỷ,"52,63 triệu/m²",57 m²,Hợp đồng mua bán,2 phòng,1 phòng,"99, Bến Bình Đông, Phường 11, Quận 8, Tp Hồ Chí Minh"
"Cần bán căn hộ Citisoho ở Cát Lái ,full nội thất",Chung cư,"1,99 tỷ","35,54 triệu/m²",56 m²,Hợp đồng mua bán,2 phòng,1 phòng,"Cát Lái, Phường Cát Lái (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh"
Bán căn hộ An Phú góc 2pn 92m block A nhà y hình,Chung cư,"3,8 tỷ","41,30 triệu/m²",92 m²,Sổ hồng riêng,2 phòng,2 phòng,"Đường Hậu Giang, Phường 11, Quận 6, Tp Hồ Chí Minh"
Căn hộ 2 tầng 1 tum,Officetel,2 triệu,86.580 đ/m²,23.1 m²,Hợp đồng mua bán,2 phòng,2 phòng,"29, Ngõ 2 Phố Đại Từ, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội"
"Nhận booking chọn quyền ưu tiên căn đẹp và độc bản,Tỉ lệ lấy căn cao",Chung cư,"1,9 tỷ",38 triệu/m²,50 m²,Hợp đồng đặt cọc,1 phòng,1 phòng,"nguyễn hữu Trí, Xã Thanh Phú, Huyện Bến Lức, Long An"
"CĂN HỘ CHUNG CƯ AN BÌNH THÀNH PHỐ GIAO LƯU, 3PN VIE HỒ GIÁ ĐẦU TỪ",Chung cư,"7,35 triệu",82.584 đ/m²,89 m²,Sổ hồng riêng,3 phòng,2 phòng,"234, Cổ Nhuế 1, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội"
💥Chỉ 2 Tỷ Có Căn Hộ Chung Cư DT 46M2 2PN Full Công Năng View Landmark,Chung cư,"2,2 tỷ","47,83 triệu/m²",46 m²,Sổ hồng riêng,2 phòng,1 phòng,"Phan Văn Trị, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh"
"bán căn 59m2, block D, view công viên ủy ban, cc wesgate",Chung cư,"2,49 tỷ","41,50 triệu/m²",60 m²,Sổ hồng riêng,2 phòng,2 phòng,"Đường Tân Túc, Thị trấn Tân Túc, Huyện Bình Chánh, Tp Hồ Chí Minh"
