Title,Price,Area,Living Area,Legal Documents,Rooms,Toilets,Address
"GIẢM 300TR BÁN GẤP MẶT TIỀN TRƯỜNG CHINH, ĐÀ NẴNG DT103M2, GIÁ 3,38 TỶ","3,38 tỷ",103 m²,103 m²,Đã có sổ,2 phòng,1 phòng,"Đường Trường Chinh, Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng"
"CHÍNH CHỦ GỬI – NHÀ PHỐ XUÂN THỚI ĐÔNG, ĐƯỜNG NHỰA GẦN CHỢ VÕ THỊ HỒI","4,95 tỷ",68 m²,136 m²,Đã có sổ,3 phòng,2 phòng,"Đường Võ Thị Hồi, Xã Xuân Thới Đông, Huyện Hóc Môn, Tp Hồ Chí Minh"
"Nhà TL41-1 trệt-1 lửng-3pn-2wc-1 phòng thờ. đt 3,6*21","2,3 tỷ",75.6 m²,75.6 m²,Sổ chung / công chứng vi bằng,3 phòng,2 phòng,"Đường Thạnh Lộc 41, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh"
"chính chủ gửi BÙI TƯ TOÀN (Trệt+Lầu Lửng)->3,4x10m GIÁ SIÊU HỜI CHỈ 🔥","1,65 tỷ",34 m²,34 m²,Sổ chung / công chứng vi bằng,2 phòng,2 phòng,"Hẻm 27 Bùi Tư Toàn, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh"
Nhà lửng ngay UBND và Chợ Bình Lợi cách trung tâm Biên Hoà 15phút,"1,41 tỷ",120 m²,140 m²,Đã có sổ,3 phòng,2 phòng,"Chợ Bình Lợi HL15, Xã Bình Lợi, Huyện Vĩnh Cửu, Đồng Nai"
Nhà Mặt Tiền,"7,69 tỷ",70 m²,244.8 m²,Đã có sổ,5 phòng,6 phòng,"Đường Trần Thanh Mại, Phường Tân Tạo A, Quận Bình Tân, Tp Hồ Chí Minh"
CHỊ THANH CẦN BÁN LẠI NHÀ DƯƠNG ĐÌNH CÚC - BÌNH CHÁNH (96M2),"1,29 tỷ",96 m²,96 m²,Đã có sổ,3 phòng,2 phòng,"Đường Dương Đình Cúc, Xã Tân Kiên, Huyện Bình Chánh, Tp Hồ Chí Minh"
"Nhà đẹp 50m2, hẻm xe hơi , full nội thất","5,5 tỷ",50 m²,200 m²,Đã có sổ,4 phòng,3 phòng,"Đường Trương Đình Hội, Phường 16, Quận 8, Tp Hồ Chí Minh"
"ĐỊNH CƯ MỸ BÁN NHÀ 4 TẦNG THIẾT KẾ HIỆN ĐẠI GẦN ĐIỆN BIÊN PHỦ, ĐÀ NẴNG","10,9 tỷ",144 m²,144 m²,Đã có sổ,4 phòng,4 phòng,"Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng"
"Nhà đẹp đường số 4 ( Gò Xoài), dt 4mx8m, 2 lầu, hẻm xe hơi","4,15 tỷ",32 m²,90 m²,Đã có sổ,2 phòng,2 phòng,"Đường số 4, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh"
"BÁN NHÀ MỚI GIÁ RẺ NHẤT KHU VỰC, GIỮ TIỀN TỐT","5,75 tỷ",88.38 m²,118 m²,Đã có sổ,4 phòng,3 phòng,"Hẻm 276 Thống Nhất, Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh"
bán nhà 1trệt 1lầu sát bên chợ vườn lài,"1,79 tỷ",36 m²,72 m²,Sổ chung / công chứng vi bằng,2 phòng,2 phòng,"Đường Vườn Lài, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh"
"Bán nhà mặt tiền tiện nhà ở cao cấp, kinh doanh hoặc văn phòng.","11,5 tỷ",76 m²,205 m²,Đã có sổ,5 phòng,3 phòng,"Đường Lê Niệm, Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh"
"2 Bước Chân Ra Vòng Xoay CV Phú Lâm Giá 50m2 3 Tấm BTCT 7,5 Tỷ","7,5 tỷ",50 m²,150 m²,Đã có sổ,4 phòng,4 phòng,"An dương, Phường 11, Quận 11, Tp Hồ Chí Minh"
"Siêu rẻ *** 1 căn, ngay P11, Gò Vấp, hẻm xe hơi : 4,9 tỷ","4,9 tỷ",48 m²,48.1 m²,Đã có sổ,3 phòng,3 phòng,"Đường Nguyễn Văn Khối, Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh"
"Chị Thảo bán căn nhà 1 lầu Hưng Nhơn , Tân Kiên đang cho thuê 8tr/th",870 triệu,116 m²,116 m²,Đã có sổ,3 phòng,2 phòng,"Đường Hưng Nhơn, Xã Tân Kiên, Huyện Bình Chánh, Tp Hồ Chí Minh"
"Giảm 500tr! Bán gấp nhà 3 tầng 60m2 - Ngang 5m - Chỉ nhỉnh ""100tr/m2""","6,39 tỷ",60 m²,170 m²,Đã có sổ,3 phòng,3 phòng,"Đường Hoàng Hoa Thám, Phường 6, Quận Bình Thạnh, Tp Hồ Chí Minh"
Bán Nhà Quang Trung P10. 20m2. trệt lầu. chỉ 2.25tỷ,"2,25 tỷ",20 m²,40 m²,Đã có sổ,2 phòng,2 phòng,"Đường Quang Trung, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh"
Bán nhà Vũ Trọng Phụng,"9,932 tỷ",191 m²,191 m²,Đã có sổ,6 phòng,4 phòng,"1.104, Vũ Trọng Phụng, Phường Thống Nhất, Thành phố Nam Định, Nam Định"
"✅ CHỈ 1TỶ 140TRIỆU – NHÀ 2 TẦNG 26M TẠI BÀ ĐIỂM, HÓC MÔN – VÀ","1,14 tỷ",26 m²,26 m²,Đã có sổ,1 phòng,1 phòng,"Đường Thái Thị Giữ, Xã Bà Điểm, Huyện Hóc Môn, Tp Hồ Chí Minh"
Bán nhà ngay chủ Nguyễn Kiệm Gò Vấp,"2,85 tỷ",28.5 m²,57 m²,Đã có sổ,2 phòng,2 phòng,"Đường Nguyễn Kiệm, Phường 3, Quận Gò Vấp, Tp Hồ Chí Minh"
"Nhà 5 tầng hẻm xe tải , 10 phòng ngủ , Thống Nhất , phường 10, Gò Vấp","8,98 tỷ",38 m²,187 m²,Đã có sổ,10 phòng,Nhiều hơn 6 phòng,"Đường Thống Nhất, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh"
🏡Bán Gấp Nhà Tân Phú - (5x9) - 6Pn 4Wc -🚗 xe hơi vô nhà - 💰 Nhỉnh 5tỷ!,"5,7 tỷ",45 m²,225 m²,Đã có sổ,6 phòng,4 phòng,"Đường Thoại Ngọc Hầu, Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh"
"Ngộp nặng:nhà lầu hoàn công mặt tiền NguyễnThị Dưỡng,thông ra chợ-TL15","2,75 tỷ",100 m²,130 m²,Đã có sổ,2 phòng,2 phòng,"Nguyễn Thị Dưỡng, Xã Tân Thạnh Đông, Huyện Củ Chi, Tp Hồ Chí Minh"
Nhà đẹp 2 lầu Ngã 3 Thái Lan. Chính chủ,"3,5 tỷ",100 m²,100 m²,Đã có sổ,3 phòng,3 phòng,"Đường Quốc lộ 51, Phường Tam Phước, Thành phố Biên Hòa, Đồng Nai"
