Title,Land Type,Price,Price per m2,Area,City
Chung Cư Phước Bình - 1PN,1 PN • Chung cư,"1,6 tỷ",37 tr/m²,44 m²,Tp Hồ Chí Minh
"BÁN NHÀ HẺM VÀO SÁU M QUẬN 10, BỐN TẦNG ĐẸP MUA VỀ VÀO Ở NGAY","3 PN • Nhà ngõ, hẻm","4,4 tỷ",176 tr/m²,25 m²,Tp Hồ Chí Minh
9420m SKC Cổng KCN Lộc An Long THành cần chuyển nhượng,Đất nông nghiệp • Ngang 65 m,"36,6 tỷ","3,9 tr/m²",9420 m²,Đồng Nai
"ĐẤT RẠCH NGÃ BÁT MẶT TIỀN - 670M2 - GẦN BV NHI ĐỒNG, ĐH FPT, NAM CT",Đất thổ cư • Ngang 12 m,"9,3 tỷ",14 tr/m²,670 m²,Cần Thơ
"BÁN 4062M2 ĐẤT CHÍNH PHỦ ĐÃ PHỦ HỒNG-VỊ TRÍ ĐẸP, GIÁ TỐT",Đất thổ cư,"7,9 tỷ","1,9 tr/m²",4062 m²,Đồng Nai
🔥 1.1 TỶ - 2 PHÒNG NGỦ - MẶT TIỀN TRẦN HƯNG ĐẠO - TRUNG TÂM ĐÀ NẴNG,2 PN • Chung cư,"1,1 tỷ",22 tr/m²,51 m²,Đà Nẵng
NHÀ 47/ AO ĐÔI 5M5 X 33M - 1 TRỆT 2 LẦU - CÓ SÂN ĐỂ OTO - 12 TỶ TL,"3 PN • Nhà ngõ, hẻm",12 tỷ,66 tr/m²,182 m²,Tp Hồ Chí Minh
chủ gửi lo dat 25 dài 32,Đất nông nghiệp • Ngang 25 m,"4,7 tỷ",6 tr/m²,786 m²,Tp Hồ Chí Minh
"CẦN BÁN LIỀN KỀ LA KHÊ 50M2 5 TẦNG DÂN XÂY 13,2TỶ",5 PN • Nhà phố liền kề,"13,2 tỷ",264 tr/m²,50 m²,Hà Nội
"Bán nhà 23m2; 2.5 tầng, Định công, Hà Nội","1 PN • Nhà ngõ, hẻm","1,15 tỷ",50 tr/m²,23 m²,Hà Nội
30000m² ĐẤT CHÍNH CHỦ – MẶT TIỀN 120M – GIÁ CHỈ 30 TỶ,Đất nông nghiệp • Ngang 120 m,30 tỷ,30000 m²,,Đồng Nai
"NHÀ YẾT KIÊU-34m2- GIÁ 3,45 TỶ- BƯỚC RA CẦU TRẮNG - VƯỜN HOA HÀ ĐÔNG","1 PN • Nhà ngõ, hẻm","3,45 tỷ",101 tr/m²,34 m²,Hà Nội
"Đất chính chủ sổ đỏ 144,3m2 xã Bàn Long,Châu Thành,Tiền Giang",Đất thổ cư • Ngang 5 m,400 triệu,"2,8 tr/m²",144 m²,Tiền Giang
BÁN NHÀ KIỆT Ô TÔ LÊ DUẨN – TRUNG TÂM THÀNH PHỐ ĐÀ NẴNG,"3 PN • Nhà ngõ, hẻm","4,25 tỷ",85 tr/m²,50 m²,Đà Nẵng
"Bán Căn 2 Phòng ngủ Vinhomes Beverly Solari giá 2,950Tỷ bao hết",2 PN • Chung cư,"2,95 tỷ",50 tr/m²,59 m²,Tp Hồ Chí Minh
ĐẤT NỀN QUẬN 8 GIÁ TỐT,Đất thổ cư • Ngang 5 m,"1,039 tỷ",13 tr/m²,80 m²,Tp Hồ Chí Minh
"Mình chính chủ cần bán căn nhà ở Phố lụa, vạn phúc, hà đông, hà nội","4 PN • Nhà mặt phố, mặt tiền","7,5 tỷ",197 tr/m²,38 m²,Hà Nội
"NHÀ YẾT KIÊU-34m2- GIÁ 3,45 TỶ- BƯỚC RA CẦU TRẮNG - VƯỜN HOA HÀ ĐÔNG","1 PN • Nhà ngõ, hẻm","3,45 tỷ",101 tr/m²,34 m²,Hà Nội
Biệt thự sân vườn 223m2 đúc 2 lầu hxh Trần Xuân Soạn khu Kiều Đàm Q7.,5 PN • Hướng Tây Bắc • Nhà biệt thự,"23,8 tỷ",107 tr/m²,223 m²,Tp Hồ Chí Minh
VIP KHU BÀU CÁT- TÂN BÌNH - HẺM XE TẢI THÔNG - 3 TẦNG - CHỈ NHỈNH 5 TỶ,"3 PN • Nhà ngõ, hẻm","5,4 tỷ",169 tr/m²,32 m²,Tp Hồ Chí Minh
BÁN NHÀ HẺM BÊ TÔNG THẲNG CÁCH MẶT TIỀN ĐƯỜNG NHỰA 30M,"1 PN • Nhà ngõ, hẻm","1,42 tỷ",41 tr/m²,35 m²,Tp Hồ Chí Minh
Bán Nhà 172m 5.4x32 - 4 tầng gần Tên Lửa hẻm 5m dòng tiền 15tr/tháng,"10 PN • Nhà ngõ, hẻm","7,85 tỷ",46 tr/m²,172 m²,Tp Hồ Chí Minh
BÁN ĐẤT VƯỜN GIÁ SIÊU TỐT gần THPT Tân Hiệp 509m2 670triệu,Đất nông nghiệp • Ngang 15 m,670 triệu,"1,3 tr/m²",509 m²,Tiền Giang
Chính chủ cần bán gấp căn biệt thự xây ở tâm huyết,5 PN • Nhà biệt thự,24 tỷ,150 tr/m²,160 m²,Tp Hồ Chí Minh
cần bán nhà phố liền kề,3 PN • Hướng Đông • Nhà phố liền kề,"1,5 tỷ",63 tr/m²,24 m²,Tp Hồ Chí Minh
"Bán đất sổ đỏ công chứng ngay, Hồ bơi sân tennis trường học, TTTM, CV",Đất nền dự án • Ngang 4.5 m,2 tỷ,20 tr/m²,100 m²,Long An
BÁN LỖ CĂN 2PN KHU ORI S10 VINHOMES GRAND PARK Q9 GIÁ TỐT,2 PN • Hướng Đông • Chung cư,"2,65 tỷ",45 tr/m²,59 m²,Tp Hồ Chí Minh
BÁN ĐẤT TRỒNG DỪA MÃ LAI – GIÁP RANH TP. MỸ THO,Đất nông nghiệp • Ngang 24 m,"1,35 tỷ","1,3 tr/m²",1063 m²,Tiền Giang
Bán CĂN HỘ SUNSHINE SKY 3PN-2WC 102M2 GIÁ 5TY700.,3 PN • Chung cư,"5,7 tỷ",56 tr/m²,102 m²,Tp Hồ Chí Minh
"NHỈNH 4TỎI LÔ ĐẤT ĐẸP GẦN QL13 TAM BÌNH, THỦ ĐỨC, ĐƯỜNG 6M, 53M²",Đất thổ cư • Ngang 4 m,"4,2 tỷ",79 tr/m²,53 m²,Tp Hồ Chí Minh
"CHỈ 6Tỷ NHÀ 5 TẦNG,HẺM XE HƠI,FULL NỘI THẤT CAO CẤP,ĐƯỜNG SỐ 1, GÒ VẤP","4 PN • Nhà ngõ, hẻm",6 tỷ,150 tr/m²,40 m²,Tp Hồ Chí Minh
🏡 NHÀ PHÂN LÔ PHÚ DIỄN – 7 TẦNG THANG MÁY – VỈA HÈ 2 BÊN - Ô TÔ TRÁNH,8 PN • Hướng Bắc • Nhà phố liền kề,"9,8 tỷ",196 tr/m²,50 m²,Hà Nội
"Ban nha mat tien, tien kinh doanh",Mặt bằng kinh doanh • Nội thất đầy đủ,20 tỷ,52 m²,,Tp Hồ Chí Minh
mặt tiền rạch,Đất thổ cư • Ngang 18 m,"9,6 tỷ","7,2 tr/m²",1339 m²,Tp Hồ Chí Minh
Bán nhà Bình Trị Đông - Hương Lộ 2 - 4x13 - 3PN - nhỉnh 3.x tỷ,"3 PN • Nhà ngõ, hẻm","3,8 tỷ",73 tr/m²,52 m²,Tp Hồ Chí Minh
GÓC 2 Mặt tiền kinh doanh phạm ngọc tân phú 10mx18m2,"1 PN • Nhà mặt phố, mặt tiền","19,9 tỷ",111 tr/m²,180 m²,Tp Hồ Chí Minh
Bán gấp nhà đường Dương Đình Cúc,"2 PN • Hướng Đông • Nhà ngõ, hẻm",850 triệu,10 tr/m²,85 m²,Tp Hồ Chí Minh
Bán Văn Phòng Đa Năng Sunshine Sky (2PN-2WC) DT 70m2 giá 3ty100.,2 PN • Chung cư,"3,1 tỷ",44 tr/m²,70 m²,Tp Hồ Chí Minh
💥 💥 NHÀ LÔ GÓC 2 MẶT TIỀN ĐƯỜNG- 40m2x3m5-3 tầng BTCT- chỉ 5T,"3 PN • Nhà mặt phố, mặt tiền",5 tỷ,125 tr/m²,40 m²,Tp Hồ Chí Minh
Bán nhà 3PN- Ngõ Thông - Đê Trần Khát Chân - Hai Bà Trưng .Đầy đủ nội,"3 PN • Hướng Tây • Nhà ngõ, hẻm","4,95 tỷ",275 tr/m²,18 m²,Hà Nội
Bán Căn Hộ Sunshine Sky City (2PN-2WC) DT 75m2 giá 3ty900.,2 PN • Chung cư,"3,9 tỷ",52 tr/m²,75 m²,Tp Hồ Chí Minh
"Nhà ngộp Tân Bình giáp Q10, HXH , 260m2, 3 tầng. Chỉ 23,8 tỷ TL",4 PN • Nhà phố liền kề,"23,8 tỷ",92 tr/m²,260 m²,Tp Hồ Chí Minh
Bán căn hộ Orchid Park có sổ tặng full nội thất 75m2 giá 2.380 tỷ,2 PN • Chung cư,"2,38 tỷ",32 tr/m²,75 m²,Tp Hồ Chí Minh
Siêu Phẩm Mặt Tiền Hà Bá tường khu bàu csts tiện xây kowis4x20,"1 PN • Nhà ngõ, hẻm","7,5 tỷ",94 tr/m²,80 m²,Tp Hồ Chí Minh
"PTY 9659 13000 1020 [S] mặt tiền nội bộ 4.2*14m Lê văn quới Bình Tân ,","5 PN • Nhà ngõ, hẻm","6,45 tỷ",108 tr/m²,60 m²,Tp Hồ Chí Minh
"Bán gấp nhà cấp tứ 100m, HXT, phù hợp CHDV chỉ 3 tỷ, SHR, Linh Xuân","3 PN • Nhà ngõ, hẻm",3 tỷ,30 tr/m²,100 m²,Tp Hồ Chí Minh
Bán nhà đường thông thạnh xuân 25 quận 12 vị trí trung tâm đẹp,"2 PN • Nhà mặt phố, mặt tiền","3,1 tỷ",78 tr/m²,40 m²,Tp Hồ Chí Minh
"CẦN BÁN NHÀ HƯƠNG LỘ 2 6 x22M 4PN CÓ SÂN ĐẬU 4 XE OTO CHỈ 6,5 TỶ","4 PN • Nhà ngõ, hẻm","6,5 tỷ",48 tr/m²,135 m²,Tp Hồ Chí Minh
[Tân Bình-Dĩ An] nhà phố Biconsi 150m2 FULL THỔ CƯ SIÊU HOT!!! 🔥🔥🔥,"3 PN • Nhà mặt phố, mặt tiền","6,7 tỷ",45 tr/m²,150 m²,Bình Dương
"Bán Nhà HXH tại Lê Văn Quới, Giáp TPhú 4,95 tỷ TL . 4,5 x 17M CN (79M2","3 PN • Nhà ngõ, hẻm","4,95 tỷ",63 tr/m²,79 m²,Tp Hồ Chí Minh
BÁN GẤP NHÀ BHH A BÌNH TÂN 6 x 10M 2T BTCT SÁT TPHÚ CHỈ NHÍCH 4 TỶ,"4 PN • Nhà ngõ, hẻm","4,8 tỷ",79 tr/m²,61 m²,Tp Hồ Chí Minh
Q7RIVERSIDE - BÁN 2PN 2WC 67M2 NHÀ TRỐNG NTCĐT VIEW SÔNG QUẬN 1,2 PN • Chung cư,"3,28 tỷ",49 tr/m²,67 m²,Tp Hồ Chí Minh
"nhà vườn, ao cá",Đất nông nghiệp • Ngang 26 m,"1,8 tỷ","1,8 tr/m²",1000 m²,Tp Hồ Chí Minh
BÁN GẤP NHÀ HẺM XE TẢI HƯƠNG LỘ 2 BTĐ A BT 80M2 3 TẦNG 3PN NHÍCH 4 Ty,"3 PN • Nhà ngõ, hẻm","4,85 tỷ",61 tr/m²,80 m²,Tp Hồ Chí Minh
"Căn hộ Bình Thạnh, Phan Văn Trị - 70m2 ( 2PN, 2WC ) View Landmark 81",2 PN • Chung cư,3 tỷ,43 tr/m²,70 m²,Tp Hồ Chí Minh
🔥 Bán nhà VIP Cư Xá Nguyễn Trung Trực Q10 - Giảm 900 triệ,"4 PN • Nhà mặt phố, mặt tiền","8,3 tỷ",167 tr/m²,50 m²,Tp Hồ Chí Minh
đất mặt tiền,Đất thổ cư • Ngang 30 m,"32,5 tỷ",14 tr/m²,2385 m²,Tp Hồ Chí Minh
Chính chủ gửi bán lo đất mặt tiền sông vàm thuật quận 12 đường xe hơi,Đất nông nghiệp • Ngang 24 m,6 tỷ,5 tr/m²,1200 m²,Tp Hồ Chí Minh
BÁN CĂN 3PN 2WC Q7 BOULEVARD HƯỚNG ĐÔNG NAM TẦNG CAO HIỆN TRẠNG CĐT,3 PN • Chung cư,"2,99 tỷ",40 tr/m²,75 m²,Tp Hồ Chí Minh
"BÁN ĐẤT THỔ CƯ VIEW ĐẸP, ĐƯỜNG 7m NGAY KDC BỒNG LAI, ĐẠ RÒN, ĐƠN DƯƠNG",Đất thổ cư • Ngang 5 m,595 triệu,"5,4 tr/m²",110 m²,Lâm Đồng
Q7BOULEVARD 1PN 1WC 50M2 HƯỚNG NAM TẦNG TRUNG ĐANG SẴN HỢP ĐỒNG THUÊ,1 PN • Chung cư,"2,1 tỷ",42 tr/m²,50 m²,Tp Hồ Chí Minh
PTY 5113 13000 1020 [S] Bán nhà sổ Hồng riêng,"4 PN • Nhà ngõ, hẻm","6,8 tỷ",100 tr/m²,68 m²,Tp Hồ Chí Minh
CHỦ THÂN GỬI BÁN 3PN 2WC Q7BOULEVARD HƯỚNG ĐÔNG NAM SẴN PASS XEM NHÀ,3 PN • Chung cư,"2,99 tỷ",40 tr/m²,75 m²,Tp Hồ Chí Minh
BÁN GẤP NHÀ PHỐ 7X15 GIÁ NHƯ CĂN 5 LOVERAPREMIER KHANG ĐIỀN BÌNH CHÁNH,4 PN • Hướng Tây Nam • Nhà phố liền kề,9 tỷ,86 tr/m²,105 m²,Tp Hồ Chí Minh
Nhà mặt tiền kinh doanh ngay Chợ Thủ Dầu Một 2 PN • Hướng Đông Bắc,"3 PN • Nhà mặt phố, mặt tiền","3,5 tỷ",33 tr/m²,107 m²,Bình Dương
Nhà đẹp - 5*30 - 3phòng ngủ - hẻm betong đường Nguyễn Văn Dương,"3 PN • Hướng Tây • Nhà ngõ, hẻm",3 tỷ,20 tr/m²,150 m²,Long An
Nhà mới xây chính chủ có hh cho ace mg bán giúp,"4 PN • Nhà mặt phố, mặt tiền","3,65 tỷ",29 tr/m²,125 m²,Đà Nẵng
Bán nhà mặt tiền Lũy Bán Bích kinh doanh sầm uất có vỉa hè,"9 PN • Nhà mặt phố, mặt tiền",40 tỷ,400 tr/m²,100 m²,Tp Hồ Chí Minh
BÁN NHÀ BỐN TẦNG MỚI Ở NGAY - SÁT MẶT TIỀN – NHỈNH SÁU TỶ,"4 PN • Nhà ngõ, hẻm","6,69 tỷ",149 tr/m²,45 m²,Tp Hồ Chí Minh
Siêu Phẩm Đẹp Nhất Khu Kiều Đàm - Kế Bên KDC Him Lam. Giá Chỉ 45 Tỷ.,8 PN • Nhà biệt thự,45 tỷ,225 tr/m²,200 m²,Tp Hồ Chí Minh
"Căn Hộ 62m2, 2 PN, 1wc, Nhất Lan 3, Tân Tạo A, Bình Tan",2 PN • Chung cư,"1,68 tỷ",27 tr/m²,62 m²,Tp Hồ Chí Minh
"Bán Nhà 4 Tầng Gần KDC Him Lam, Quận 7, Nội Thất Cao Cấp, hẻm xe hơi","3 PN • Nhà ngõ, hẻm","10,5 tỷ",202 tr/m²,52 m²,Tp Hồ Chí Minh
TỔNG HỢP CÁC CĂN NGỘP TIỀN GIÁ RẺ MUA TỪ NĂM 2019,1 PN • Chung cư,650 triệu,20 tr/m²,32 m²,Bình Thuận
HIẾM Q.1 TRẦN ĐÌNH XU - CHỈ 1 TỶ 180 TRIỆU,"2 PN • Nhà ngõ, hẻm","1,18 tỷ",118 tr/m²,10 m²,Tp Hồ Chí Minh
"Phú La- văn phú- HÀ ĐÔNG - Đường rộng, ô tô đỗ thoải mái","5 PN • Nhà mặt phố, mặt tiền","10,5 tỷ",328 tr/m²,32 m²,Hà Nội
Đất Hiếm.Ấp 1 Bình Đức Bến Lức,Đất nông nghiệp • Ngang 65 m,730 triệu,< 1 tr/m²,732 m²,Long An
3PN mới 100% - 2.975 tỷ - Hướng Nam - Căn hộ Boulevard Q7,3 PN • Hướng Bắc • Chung cư,"2,975 tỷ",40 tr/m²,75 m²,Tp Hồ Chí Minh
Bán nhà MT khu Tên Lửa - Bình Tân - 82m2 - 4 tầng - nhỉnh 6 tỷ,"3 PN • Nhà mặt phố, mặt tiền",6 tỷ,71 tr/m²,84 m²,Tp Hồ Chí Minh
"HẺM XE HƠI, 200M RA CHỢ, 3PN, 4x10","3 PN • Nhà ngõ, hẻm","3,38 tỷ",85 tr/m²,40 m²,Tp Hồ Chí Minh
"nhà giá tốt, trung tâm Bình Thạnh","2 PN • Hướng Đông Nam • Nhà ngõ, hẻm","5,835 tỷ",133 tr/m²,44 m²,Tp Hồ Chí Minh
"Cần tiền bán nhanh căn hộ Sky Garden, nhà mới 100%, vào ở ngay",3 PN • Duplex,"6,7 tỷ",52 tr/m²,130 m²,Tp Hồ Chí Minh
Lô góc trung tâm chợ phường 3 thành phố Tân An Long An,Đất thổ cư,10 tỷ,60 tr/m²,167 m²,Long An
Bán nhà Tân Mai,"3 PN • Hướng Đông Nam • Nhà ngõ, hẻm","6,9 tỷ",192 tr/m²,36 m²,Hà Nội
"bán lô đất 144M Nam Phương Tiến - gần Quốc lộ 21A! Giá chỉ 1,45 tỷ",Đất thổ cư • Ngang 5 m,"1,45 tỷ",10 tr/m²,144 m²,Hà Nội
BÁN NHÀ ĐẸP LÂM VĂN BỀN PHƯỜNG BÌNH THUẬN QUẬN 7,"3 PN • Hướng Tây Bắc • Nhà mặt phố, mặt tiền","14,5 tỷ",422 tr/m²,34 m²,Tp Hồ Chí Minh
"Bán gấp nhà Tân Quý Tân Phú 42m2,2Tầng,3PN,2WC, Chỉ 3Tỷ950(Còn TL)","3 PN • Nhà ngõ, hẻm","3,95 tỷ",94 tr/m²,42 m²,Tp Hồ Chí Minh
"Bán Căn Hộ Tân Mai ,50m2 , Full Nội Thất ,Nhà Đẹp, SHR .",1 PN • Hướng Nam • Chung cư,"1,35 tỷ",27 tr/m²,50 m²,Tp Hồ Chí Minh
"29/4/25 bảng giá nhà xã hội Becamex, Sài Gòn mua được",2 PN • Chung cư,225 triệu,"7,5 tr/m²",30 m²,Bình Dương
Bán Căn hộ 52m2 đẹp Phú Nhuận,2 PN • Chung cư,"2,7 tỷ",52 tr/m²,52 m²,Đà Nẵng
"Chung cư xã hội Hòa Lợi ,lầu 4 sổ hồng 357 triệu, Sài Gòn mua được",2 PN • Chung cư,357 triệu,12 tr/m²,30 m²,Bình Dương
"TÒA NHÀ , NGUYỄN HỮU CẢNH , 4 TẦNG , 40M2 , FULL NT ,CHỈ 7,38 TỶ TL","3 PN • Nhà ngõ, hẻm","7,38 tỷ",185 tr/m²,40 m²,Tp Hồ Chí Minh
"Chính chủ - Đất mặt tiền đường Công Nghệ Mới, Vĩnh Lộc B - Bình Chánh",Đất nông nghiệp • Ngang 10 m,"6,08 tỷ",19 tr/m²,320 m²,Tp Hồ Chí Minh
Giá Sốc 5.15 tỷ - Nhà Mới Xây - Thích Hợp Ở Ngay - Phan Văn Trị,"2 PN • Nhà ngõ, hẻm","5,15 tỷ",161 tr/m²,32 m²,Tp Hồ Chí Minh
🏡 [BÁN NHÀ PHỐ NƠ TRANG LONG] 7PN - 6WC - 5.5 TỶ,"7 PN • Nhà ngõ, hẻm","5,5 tỷ",138 tr/m²,40 m²,Tp Hồ Chí Minh
nhà 3 tầng đẹp long lanh 34m định công,"4 PN • Nhà ngõ, hẻm","3,1 tỷ",91 tr/m²,34 m²,Hà Nội
🏡NHÀ ĐẸP XÔ VIẾT NGHỆ TĨNH – GIÁ RẺ NHẤT KHU VỰC –58M² – CHỈ 5.45 TỶ,"2 PN • Nhà ngõ, hẻm","5,45 tỷ",91 tr/m²,60 m²,Tp Hồ Chí Minh
[Bán chính chủ] Nhà phố Phan Xích Long 40m² 4 tầng- nhỉnh 5 tỷ,"6 PN • Nhà ngõ, hẻm","5,5 tỷ",138 tr/m²,40 m²,Tp Hồ Chí Minh
🔥 SIÊU PHẨM BẠCH ĐẰNG - HẺM THÔNG - BÌNH THẠNH - 48M² - NHỈNH 5 TỶ,"2 PN • Nhà ngõ, hẻm","5,1 tỷ",106 tr/m²,48 m²,Tp Hồ Chí Minh
"HÀNG HIẾM! GẦN MẶT TIỀN NGUYỄN THƯỢNG HIỀN, 46M², 3 TẦNG, CHỈ 5.94 TỶ","3 PN • Nhà ngõ, hẻm","5,94 tỷ",129 tr/m²,46 m²,Tp Hồ Chí Minh
cần bán,"4 PN • Nhà ngõ, hẻm","5,5 tỷ",145 tr/m²,38 m²,Tp Hồ Chí Minh
Nhà Trần Hưng Đạo Dĩ An,3 PN • Hướng Bắc • Nhà phố liền kề,"3,95 tỷ",55 tr/m²,72 m²,Bình Dương
"Bán nhà hẻm ô tô đường Trường Chinh Tân Bình 72m2, 3 tầng, 7.19 tỷ","4 PN • Nhà ngõ, hẻm","7,19 tỷ",100 tr/m²,72 m²,Tp Hồ Chí Minh
"Nhà mặt tiền vườn lài, khu kinh doanh sầm uất","4 PN • Nhà mặt phố, mặt tiền","12,88 tỷ",227 tr/m²,57 m²,Tp Hồ Chí Minh
HẺM OTO THÔNG - 2 TẦNG - NHÀ MỚI ĐẸP,"2 PN • Nhà ngõ, hẻm","3,3 tỷ",105 tr/m²,31 m²,Tp Hồ Chí Minh
CẦN BÁN LOẠI 2PN LOTUS GẦN PHẠM VĂN ĐỒNG,2 PN • Chung cư,"1,53 tỷ",31 tr/m²,50 m²,Tp Hồ Chí Minh
"CHUNG CƯ MẶT TIỀN QL1A, SỔ SẴN, NHÀ SẴN",1 PN • Chung cư,"1,15 tỷ",30 tr/m²,38 m²,Tp Hồ Chí Minh
MẶT TIỀN ĐƯỜNG Q6-KHU PHÂN LÔ NỘI BỘ,"5 PN • Nhà mặt phố, mặt tiền","9,5 tỷ",148 tr/m²,64 m²,Tp Hồ Chí Minh
SIÊU ĐẸP - TRUNG TÂM PHỐ LÔ GÓC - 6 TẦNG THANG MÁY - Ô TÔ ĐỖ CỬA,"3 PN • Nhà mặt phố, mặt tiền","7,89 tỷ",188 tr/m²,42 m²,Hà Nội
Bán nhà phố Nguyễn Ngọc Nại Thanh Xuân,"3 PN • Hướng Đông Nam • Nhà ngõ, hẻm","8,8 tỷ",210 tr/m²,42 m²,Hà Nội
đất ô cách diện tích rộng ô tô tránh giá đầu tư,Đất thổ cư • Ngang 6 m,"8,7 tỷ",100 tr/m²,87 m²,Hà Nội
TRỐT NGAY -NHÀ ĐẸP Ô TÔ VÀO TẬN NHÀ GẦN PHỐ GIÁ SỐC - Ở HOẶC ĐẦU TƯ -,"3 PN • Nhà mặt phố, mặt tiền","16,7 tỷ",407 tr/m²,41 m²,Hà Nội
"Căn hộ 47m2, 1 PN, Tân Mai.tặng nội thất thất đẹp, giá 1 ty47(TL)",1 PN • Chung cư,"1,47 tỷ",31 tr/m²,47 m²,Tp Hồ Chí Minh
BÁN CHUNG CƯ 35M2 FULL NỘI THẤT TẠI Q7 BOULEVARD NGUYỄN LƯƠNG BẰNG,1 PN • Chung cư,"1,6 tỷ",46 tr/m²,35 m²,Tp Hồ Chí Minh
🔥🏠 Nguyễn Thái Sơn Vip Khu CHDV SV 130m2 Ngang 11m Nhỉnh 7.9Tỷ,"2 PN • Nhà ngõ, hẻm","7,9 tỷ",61 tr/m²,130 m²,Tp Hồ Chí Minh
"BÁN NHÀ QUẬN 6, ĐƯỜNG HẬU GIANG, 45M2, CĂN GÓC, SỔ HỒNG HOÀN CÔNG ĐỦ","3 PN • Nhà ngõ, hẻm","4,65 tỷ",103 tr/m²,45 m²,Tp Hồ Chí Minh
"❌️❌️❌️Bán nhà, mặt tiền hẻm xe hơi, tặng full nội thất cao cấp❌️❌️","2 PN • Nhà ngõ, hẻm","4,65 tỷ",95 tr/m²,49 m²,Tp Hồ Chí Minh
Chính chủ bán nhà 3 tầng Nguyễn Trung Trực p5 Bình Thạnh(4×9)chỉ4.x tỉ,"3 PN • Nhà ngõ, hẻm","4,9 tỷ",136 tr/m²,36 m²,Tp Hồ Chí Minh
"Bán Gấp Đất Mặt Tiền Nhựa 6m thông , gần chợ Phường Tương Bình HiệpTDM",Đất thổ cư • Ngang 5.4 m,"2,15 tỷ",20 tr/m²,109 m²,Bình Dương
"RẺ 2 TỶ. BÁN NHÀ MẶT TIỀN ĐƯỜNG CAO LỖ, CÁCH PARCMALL 100M, QUẬN 8. TL","10 PN • Nhà mặt phố, mặt tiền","11,5 tỷ",139 tr/m²,83 m²,Tp Hồ Chí Minh
Nhà hẻm Lương Văn Can chính chủ,"2 PN • Hướng Tây Nam • Nhà ngõ, hẻm","2,4 tỷ",100 tr/m²,24 m²,Tp Hồ Chí Minh
(HÀNG HIẾM)Trung Hòa Nhân Chính 70m 2PN 2vs 4.x ty cực thoáng slot oto,2 PN • Chung cư,4 tỷ,57 tr/m²,70 m²,Hà Nội
chính chủ bán hai lo đất đường Hồng phúc và A8A góc hai mặt tiền,Đất nền dự án • Ngang 13.6 m,10 tỷ,30 tr/m²,328 m²,Long An
